,code,dong
0,11110,종로구
1,11140,중구
2,11170,용산구
3,11200,성동구
4,11215,광진구
5,11230,동대문구
6,11260,중랑구
7,11290,성북구
8,11305,강북구
9,11320,도봉구
10,11350,노원구
11,11380,은평구
12,11410,서대문구
13,11440,마포구
14,11470,양천구
15,11500,강서구
16,11530,구로구
17,11545,금천구
18,11560,영등포구
19,11590,동작구
20,11620,관악구
21,11650,서초구
22,11680,강남구
23,11710,송파구
24,11740,강동구
25,21110,중구
26,21140,서구
27,21170,동구
28,21200,영도구
29,21230,부산진구
30,21260,동래구
31,21290,남구
32,21320,북구
33,21350,해운대구
34,21380,사하구
35,21410,금정구
36,21440,강서구
37,22110,중구
38,22140,동구
39,22170,서구
40,22200,남구
41,22230,북구
42,22260,수성구
43,22290,달서구
44,23110,중구
45,23140,동구
46,23170,남구
47,23200,남동구
48,23230,북구
49,23260,서구
50,24110,동구
51,24140,서구
52,24170,북구
53,24200,광산구
54,25110,동구
55,25140,중구
56,25170,서구
57,25200,유성구
58,25230,대덕구
59,26110,중구
60,26140,서구
61,26170,동구
62,26200,영도구
63,26230,부산진구
64,26260,동래구
65,26290,남구
66,26320,북구
67,26350,해운대구
68,26380,사하구
69,26410,금정구
70,26440,강서구
71,26470,연제구
72,26500,수영구
73,26530,사상구
74,26710,기장군
75,27110,중구
76,27140,동구
77,27170,서구
78,27200,남구
79,27230,북구
80,27260,수성구
81,27290,달서구
82,27710,달성군
83,28110,중구
84,28140,동구
85,28170,남구
86,28177,미추홀구
87,28185,연수구
88,28200,남동구
89,28230,북구
90,28237,부평구
91,28245,계양구
92,28260,서구
93,28710,강화군
94,28720,옹진군
95,29110,동구
96,29140,서구
97,29155,남구
98,29170,북구
99,29200,광산구
100,30110,동구
101,30140,중구
102,30170,서구
103,30200,유성구
104,30230,대덕구
105,31110,중구
106,31140,남구
107,31170,동구
108,31200,북구
109,31710,울주군
110,36110,반곡동
111,36110,소담동
112,36110,보람동
113,36110,대평동
114,36110,가람동
115,36110,한솔동
116,36110,나성동
117,36110,새롬동
118,36110,다정동
119,36110,어진동
120,36110,종촌동
121,36110,고운동
122,36110,아름동
123,36110,도담동
124,36110,세종특별자치시
125,36110,조치원읍
126,36110,연기면
127,36110,연동면
128,36110,부강면
129,36110,금남면
130,36110,장군면
131,36110,연서면
132,36110,전의면
133,36110,전동면
134,36110,소정면
135,41010,인천시
136,41011,인천시
137,41012,인천시
138,41013,인천시
139,41014,인천시
140,41050,부천군
141,41110,수원시
142,41111,수원시
143,41113,수원시
144,41115,수원시
145,41117,수원시
146,41130,성남시
147,41131,성남시
148,41133,성남시
149,41135,성남시
150,41150,의정부시
151,41170,안양시
152,41171,안양시
153,41173,안양시
154,41190,부천시
155,41191,부천시
156,41193,부천시
157,41195,부천시
158,41197,부천시
159,41199,부천시
160,41210,광명시
161,41220,평택시
162,41230,송탄시
163,41250,동두천시
164,41270,안산시
165,41271,안산시
166,41273,안산시
167,41280,고양시
