기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,합계,합계,"17,142","86,800",57,"33,077",214,"17,740","8,176","11,042",51,108,"17,913",6,"1,186",1,435,7,"1,845",64,96,"4,786",69,43,"2,657","3,626",728,3,12
2017,종로구,소계,500,"3,387",4,"2,978",2,153,182,185,7,-,-,-,-,-,-,-,-,1,40,168,-,1,31,135,-,-,-
2017,종로구,사직동,75,23,-,-,-,-,28,23,2,-,-,-,-,-,-,-,-,-,-,29,-,-,-,16,-,-,-
2017,종로구,삼청동,11,30,-,-,1,30,3,-,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
2017,종로구,부암동,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-
2017,종로구,평창동,15,132,-,-,1,123,5,9,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,종로구,무악동,6,218,1,218,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-
2017,종로구,교남동,13,988,2,982,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,-,-,-
2017,종로구,가회동,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-
2017,종로구,종로1.2.3.4가동,160,131,-,-,-,-,60,100,4,-,-,-,-,-,-,-,-,-,-,64,-,1,31,31,-,-,-
2017,종로구,종로5·6가동,83,1,-,-,-,-,18,1,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,40,-,-,-
2017,종로구,이화동,13,"1,820",1,"1,778",-,-,6,2,-,-,-,-,-,-,-,-,-,1,40,4,-,-,-,1,-,-,-
2017,종로구,창신1동,34,40,-,-,-,-,20,40,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,-,-,-
2017,종로구,창신2동,11,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-
2017,종로구,창신3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,종로구,숭인1동,14,1,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,종로구,숭인2동,10,3,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
2017,종로구,청운효자동,11,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
2017,종로구,혜화동,31,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,9,-,-,-
2017,중구,소계,543,"1,533",3,"1,035",3,261,220,184,14,-,-,-,-,-,-,-,-,5,-,208,-,1,53,89,-,-,-
2017,중구,소공동,65,80,-,-,-,-,16,27,7,-,-,-,-,-,-,-,-,-,-,33,-,1,53,8,-,-,-
2017,중구,회현동,64,14,-,-,-,-,28,14,1,-,-,-,-,-,-,-,-,1,-,21,-,-,-,13,-,-,-
2017,중구,명동,146,30,-,-,-,-,66,30,5,-,-,-,-,-,-,-,-,1,-,49,-,-,-,25,-,-,-
2017,중구,필동,21,285,1,285,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,2,-,-,-
2017,중구,장충동,8,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-
2017,중구,광희동,33,466,1,466,-,-,13,-,1,-,-,-,-,-,-,-,-,1,-,14,-,-,-,3,-,-,-
2017,중구,을지로동,36,290,1,284,-,-,12,6,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,5,-,-,-
2017,중구,신당5동,23,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,7,-,-,-
2017,중구,황학동,18,2,-,-,-,-,9,2,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,1,-,-,-
2017,중구,중림동,18,29,-,-,-,-,5,29,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,중구,신당동,26,86,-,-,1,57,12,29,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,4,-,-,-
2017,중구,다산동,28,28,-,-,-,-,15,28,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,5,-,-,-
2017,중구,약수동,33,204,-,-,2,204,13,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,7,-,-,-
2017,중구,청구동,10,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
2017,중구,동화동,14,19,-,-,-,-,9,19,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-
2017,용산구,소계,298,992,1,727,2,174,123,86,3,-,-,-,-,-,-,-,-,-,-,108,-,-,-,60,-,1,5
